marketplacename,stock,tahunterbit,hargabuku,berat,lembartotal,status,urgent,tipetransaksi,servicefee,jumlah_order,jumlahcetak,kategoriutama,kategorisekunder,kategoritersier,statussku,tahun_transaksi,bulan_transaksi,hari_transaksi,dayofyear
7,0,2022.0,120000,0.0,66.0,3,0,1,0,1,1,4,61,15,0,2023,2,7,38
3,0,2022.0,120000,0.0,66.0,3,0,0,0,2,2,4,61,15,0,2023,2,7,38
3,0,2022.0,120000,0.0,66.0,3,0,0,0,1,1,4,61,15,0,2023,2,7,38
3,0,2022.0,52000,0.0,59.0,3,0,0,0,1,2,8,84,35,1,2023,2,7,38
3,0,2019.0,54000,0.0,59.0,3,0,0,0,1,0,1,49,69,0,2023,2,7,38
2,1,2019.0,108000,0.0,59.0,3,0,0,0,1,1,8,0,74,0,2023,2,7,38
2,2,2019.0,99000,0.0,66.0,3,0,0,0,1,0,8,87,53,0,2023,2,7,38
2,0,2021.0,70000,0.0,40.0,3,0,0,0,1,2,10,70,53,0,2023,2,7,38
3,0,2021.0,155000,0.0,95.0,3,0,0,0,1,1,8,46,72,0,2023,2,7,38
6,0,2022.0,158000,280.0,76.0,1,0,1,0,1,1,10,70,53,1,2023,2,7,38
6,0,2022.0,176000,0.0,76.0,1,0,1,0,1,1,10,70,53,0,2023,2,7,38
6,0,2022.0,193000,0.0,116.0,1,0,1,0,1,1,10,24,53,1,2023,2,7,38
6,0,2022.0,132000,0.0,67.0,1,0,1,0,1,1,10,24,53,0,2023,2,7,38
3,0,2022.0,136000,155.0,59.0,3,0,0,0,1,1,10,24,53,0,2023,2,7,38
3,0,2021.0,206000,0.0,59.0,3,0,0,0,1,1,3,51,11,0,2023,2,7,38
3,0,2022.0,136000,0.0,59.0,3,0,0,0,1,1,3,51,53,1,2023,2,7,38
3,0,2019.0,135000,0.0,85.0,3,0,0,0,1,1,3,66,20,0,2023,2,7,38
5,0,2016.0,135000,0.0,117.0,3,0,0,0,1,1,6,19,69,0,2023,2,7,38
3,0,2019.0,92000,0.0,59.0,3,0,0,0,1,0,1,38,53,0,2023,2,7,38
3,0,2020.0,136000,0.0,59.0,3,0,0,0,1,1,3,44,45,1,2023,2,7,38
3,0,2019.0,77000,0.0,59.0,3,0,0,0,1,1,11,48,53,0,2023,2,7,38
3,0,2020.0,91000,0.0,53.0,3,0,0,0,1,1,8,84,53,0,2023,2,7,38
3,0,2019.0,133000,0.0,50.0,3,0,0,0,1,1,8,46,69,0,2023,2,7,38
3,0,2019.0,77000,0.0,59.0,3,0,0,0,1,1,11,48,53,0,2023,2,7,38
